Compilation;Date;Value;plotParameter
"CAPP 2012 - SCO + Bitumen";1988-02-05;316926.23334609;2
"CAPP 2012 - SCO + Bitumen";1988-02-27;318983.38142646;2
"CAPP 2012 - SCO + Bitumen";1988-03-20;321040.52950684;2
"CAPP 2012 - SCO + Bitumen";1988-04-11;323097.67758722;2
"CAPP 2012 - SCO + Bitumen";1988-05-03;325154.82566759;2
"CAPP 2012 - SCO + Bitumen";1988-05-25;327211.97374797;2
"CAPP 2012 - SCO + Bitumen";1988-06-16;329269.12182834;2
"CAPP 2012 - SCO + Bitumen";1988-07-08;330733.19273871;2
"CAPP 2012 - SCO + Bitumen";1988-07-30;330926.38399906;2
"CAPP 2012 - SCO + Bitumen";1988-08-21;331119.57525942;2
"CAPP 2012 - SCO + Bitumen";1988-09-12;331312.76651977;2
"CAPP 2012 - SCO + Bitumen";1988-10-04;331505.95778013;2
"CAPP 2012 - SCO + Bitumen";1988-10-26;331699.14904049;2
"CAPP 2012 - SCO + Bitumen";1988-11-17;331892.34030084;2
"CAPP 2012 - SCO + Bitumen";1988-12-09;332085.53156119;2
"CAPP 2012 - SCO + Bitumen";1988-12-31;332278.72282155;2
"CAPP 2012 - SCO + Bitumen";1989-01-22;332471.91408191;2
"CAPP 2012 - SCO + Bitumen";1989-02-13;332665.10534227;2
"CAPP 2012 - SCO + Bitumen";1989-03-07;332858.29660262;2
"CAPP 2012 - SCO + Bitumen";1989-03-29;333051.48786297;2
"CAPP 2012 - SCO + Bitumen";1989-04-20;333244.67912333;2
"CAPP 2012 - SCO + Bitumen";1989-05-12;333437.87038369;2
"CAPP 2012 - SCO + Bitumen";1989-06-03;333631.06164404;2
"CAPP 2012 - SCO + Bitumen";1989-06-25;333824.2529044;2
"CAPP 2012 - SCO + Bitumen";1989-07-17;334309.02510902;2
"CAPP 2012 - SCO + Bitumen";1989-08-08;334903.14016776;2
"CAPP 2012 - SCO + Bitumen";1989-08-30;335497.25522649;2
"CAPP 2012 - SCO + Bitumen";1989-09-21;336091.37028521;2
"CAPP 2012 - SCO + Bitumen";1989-10-13;336685.48534395;2
